일시,적설(cm)
2023-01-06 21:00:00,1.6
2023-01-06 22:00:00,1.6
2023-01-06 23:00:00,3.3
2023-01-07 00:00:00,3.6
2023-01-07 01:00:00,3.3
2023-01-07 02:00:00,3.1
2023-01-07 03:00:00,3.0
2023-01-07 04:00:00,2.7
2023-01-07 05:00:00,2.3
2023-01-07 06:00:00,2.2
2023-01-07 07:00:00,1.9
2023-01-07 08:00:00,1.5
2023-01-07 09:00:00,1.2
2023-01-07 10:00:00,1.1
2023-01-07 11:00:00,0.9
2023-01-07 12:00:00,0.5
2023-01-15 09:00:00,0.1
2023-01-15 10:00:00,0.3
2023-01-15 11:00:00,0.6
2023-01-15 12:00:00,0.6
2023-01-15 13:00:00,0.5
2023-01-15 14:00:00,0.5
2023-01-15 15:00:00,0.4
2023-01-15 16:00:00,0.4
2023-01-15 17:00:00,0.4
2023-01-15 18:00:00,0.4
2023-01-15 19:00:00,0.3
2023-01-15 20:00:00,0.3
2023-01-15 21:00:00,0.3
2023-01-15 22:00:00,0.3
2023-01-15 23:00:00,0.3
2023-01-16 00:00:00,0.3
2023-01-16 01:00:00,0.3
2023-01-16 02:00:00,0.3
2023-01-16 03:00:00,0.3
2023-01-16 04:00:00,0.3
2023-01-16 05:00:00,0.3
2023-01-16 06:00:00,0.3
2023-01-16 07:00:00,0.3
2023-01-16 08:00:00,0.3
2023-01-16 09:00:00,0.1
2023-01-16 10:00:00,0.1
2023-01-26 04:00:00,0.2
2023-01-26 05:00:00,0.6
2023-01-26 06:00:00,1.5
2023-01-26 07:00:00,2.0
2023-01-26 08:00:00,2.5
2023-01-26 09:00:00,3.8
2023-01-26 10:00:00,4.3
2023-01-26 11:00:00,4.5
2023-01-26 12:00:00,3.7
2023-01-26 13:00:00,3.5
2023-01-26 14:00:00,3.5
2023-01-26 15:00:00,3.2
2023-01-26 16:00:00,2.9
2023-01-26 17:00:00,2.5
2023-01-26 18:00:00,2.5
2023-01-26 19:00:00,2.3
2023-01-26 20:00:00,2.3
2023-01-26 21:00:00,2.1
2023-01-26 22:00:00,1.9
2023-01-26 23:00:00,1.8
2023-01-27 00:00:00,1.7
2023-01-27 01:00:00,1.6
2023-01-27 02:00:00,1.5
2023-01-27 03:00:00,1.4
2023-01-27 04:00:00,1.4
2023-01-27 05:00:00,1.4
2023-01-27 06:00:00,1.2
2023-01-27 07:00:00,1.2
2023-01-27 08:00:00,1.0
2023-01-27 09:00:00,0.8
2023-01-27 10:00:00,0.7
2023-01-27 11:00:00,0.7
2023-01-27 12:00:00,0.5
2023-01-27 13:00:00,0.1
2023-12-16 04:00:00,0.2
2023-12-16 05:00:00,0.2
2023-12-16 06:00:00,0.3
2023-12-16 07:00:00,0.7
2023-12-16 08:00:00,0.9
2023-12-16 09:00:00,1.0
2023-12-16 10:00:00,1.0
2023-12-16 11:00:00,0.7
2023-12-19 21:00:00,0.1
2023-12-19 22:00:00,0.2
2023-12-19 23:00:00,0.5
2023-12-20 00:00:00,0.9
2023-12-20 01:00:00,1.9
2023-12-20 02:00:00,2.1
2023-12-20 03:00:00,2.1
2023-12-20 04:00:00,2.0
2023-12-20 05:00:00,2.0
2023-12-20 06:00:00,1.9
2023-12-20 07:00:00,1.8
2023-12-20 08:00:00,1.6
2023-12-20 09:00:00,1.6
2023-12-20 10:00:00,1.5
2023-12-20 11:00:00,1.5
2023-12-20 12:00:00,1.2
2023-12-20 13:00:00,1.0
2023-12-20 14:00:00,0.9
2023-12-20 15:00:00,0.7
2023-12-20 16:00:00,0.7
2023-12-20 17:00:00,0.6
2023-12-20 18:00:00,0.6
2023-12-20 19:00:00,0.6
2023-12-20 20:00:00,0.6
2023-12-20 21:00:00,0.6
2023-12-20 22:00:00,0.5
2023-12-20 23:00:00,0.5
2023-12-21 00:00:00,0.5
2023-12-21 01:00:00,0.5
2023-12-21 02:00:00,0.5
2023-12-21 03:00:00,0.5
2023-12-21 04:00:00,0.5
2023-12-21 05:00:00,0.5
2023-12-21 06:00:00,0.5
