기준_날짜,기준_시,기온(℃),강수량(mm),풍속(m/s),습도(%),불쾌지수,적설(cm)
2023-01-07,0,1.0,2.9,1.3,95,-1217.3400000000001,3.6
2023-01-07,1,1.2,0.0,1.7,94,-1185.256,3.6
2023-01-07,2,1.2,0.0,0.7,95,-1198.368,3.6
2023-01-07,3,1.6,0.0,1.0,94,-1147.708,3.6
2023-01-07,4,2.2,0.0,2.0,96,-1115.63,3.6
2023-01-07,5,2.0,0.0,2.9,98,-1159.44,3.6
2023-01-07,6,1.8,0.1,3.1,97,-1166.488,3.6
2023-01-07,7,1.8,0.0,2.8,97,-1166.488,3.6
2023-01-07,8,1.6,0.0,3.5,92,-1122.276,3.6
2023-01-07,9,1.6,0.0,2.4,90,-1096.844,3.6
2023-01-07,10,1.7,0.0,2.9,88,-1062.6190000000001,3.6
2023-01-07,11,2.0,0.0,3.7,84,-986.96,3.6
2023-01-07,12,2.4,0.0,3.2,75,-846.056,3.6
2023-01-07,13,3.1,0.0,2.9,71,-748.59,3.6
2023-01-07,14,3.4,0.0,3.7,68,-694.458,3.6
2023-01-07,15,3.7,0.0,3.1,66,-652.745,3.6
2023-01-07,16,3.7,0.0,2.3,66,-652.745,3.6
2023-01-07,17,2.9,0.0,2.5,68,-728.523,3.6
2023-01-07,18,2.0,0.0,1.5,71,-826.8,3.6
2023-01-07,19,1.1,0.0,1.1,74,-930.4230000000001,3.6
2023-01-07,20,0.5,0.0,1.4,78,-1030.085,3.6
2023-01-07,21,0.2,0.0,1.9,82,-1109.9020000000003,3.6
2023-01-07,22,0.1,0.0,2.4,68,-919.2870000000001,3.6
2023-01-07,23,-0.9,0.0,1.0,68,-987.417,3.6
2023-01-16,0,-3.5,0.0,2.7,91,-1573.15,0.3
2023-01-16,1,-3.6,0.0,2.8,90,-1564.3760000000002,0.3
2023-01-16,2,-3.8,0.0,2.7,87,-1528.1720000000003,0.3
2023-01-16,3,-4.1,0.0,2.8,85,-1517.5360000000003,0.3
2023-01-16,4,-4.3,0.0,2.4,85,-1534.5280000000002,0.3
2023-01-16,5,-4.7,0.0,2.8,84,-1549.5590000000002,0.3
2023-01-16,6,-5.0,0.0,2.7,83,-1555.5,0.3
2023-01-16,7,-5.4,0.0,4.2,78,-1490.462,0.3
2023-01-16,8,-6.2,0.0,3.5,71,-1409.82,0.3
2023-01-16,9,-6.7,0.0,3.3,64,-1298.8390000000002,0.3
2023-01-16,10,-6.0,0.0,3.5,60,-1172.96,0.3
2023-01-16,11,-4.9,0.0,3.1,57,-1049.276,0.3
2023-01-16,12,-4.0,0.0,3.2,53,-924.7200000000001,0.3
2023-01-16,13,-2.5,0.0,2.8,53,-844.8000000000001,0.3
2023-01-16,14,-1.6,0.0,2.1,49,-733.312,0.3
2023-01-16,15,-1.7,0.0,3.1,48,-722.261,0.3
2023-01-16,16,-1.8,0.0,3.0,46,-694.9300000000002,0.3
2023-01-16,17,-2.4,0.0,2.9,45,-706.0640000000002,0.3
2023-01-16,18,-3.8,0.0,2.5,52,-896.0020000000002,0.3
2023-01-16,19,-4.4,0.0,1.9,55,-983.344,0.3
2023-01-16,20,-4.9,0.0,1.8,57,-1049.276,0.3
2023-01-16,21,-5.4,0.0,1.5,60,-1136.834,0.3
2023-01-16,22,-5.6,0.0,2.4,60,-1148.876,0.3
2023-01-16,23,-5.4,0.0,2.5,54,-1018.9580000000001,0.3
2023-01-27,0,-5.5,0.0,1.5,77,-1478.5200000000002,1.7
2023-01-27,1,-6.0,0.0,1.6,77,-1517.04,1.7
2023-01-27,2,-6.7,0.0,1.8,79,-1612.8340000000003,1.7
2023-01-27,3,-6.7,0.0,3.3,79,-1612.8340000000003,1.7
2023-01-27,4,-7.3,0.0,2.3,79,-1660.2460000000003,1.7
2023-01-27,5,-7.5,0.0,2.2,78,-1654.325,1.7
2023-01-27,6,-8.2,0.0,1.2,80,-1753.782,1.7
2023-01-27,7,-8.6,0.0,1.5,81,-1808.6000000000001,1.7
2023-01-27,8,-8.7,0.0,3.2,70,-1564.6570000000002,1.7
2023-01-27,9,-8.3,0.0,3.2,62,-1356.477,1.7
2023-01-27,10,-7.6,0.0,5.4,52,-1094.7040000000002,1.7
2023-01-27,11,-7.2,0.0,5.0,50,-1030.9320000000002,1.7
2023-01-27,12,-6.4,0.0,5.7,44,-866.8680000000002,1.7
2023-01-27,13,-5.0,0.0,5.7,39,-708.5000000000001,1.7
2023-01-27,14,-4.3,0.0,6.1,38,-662.349,1.7
2023-01-27,15,-4.2,0.0,4.9,38,-658.5060000000001,1.7
2023-01-27,16,-4.4,0.0,5.8,39,-684.8480000000001,1.7
2023-01-27,17,-5.2,0.0,5.1,38,-696.936,1.7
2023-01-27,18,-6.6,0.0,5.0,42,-834.074,1.7
2023-01-27,19,-7.4,0.0,3.1,46,-954.4900000000002,1.7
2023-01-27,20,-8.0,0.0,4.1,49,-1048.96,1.7
2023-01-27,21,-8.5,0.0,2.2,51,-1119.05,1.7
2023-01-27,22,-9.0,0.0,2.1,53,-1191.1200000000001,1.7
2023-01-27,23,-9.3,0.0,2.1,54,-1230.611,1.7
2023-12-20,0,-2.1,0.3,2.3,90,-1429.5110000000002,0.9
2023-12-20,1,-3.2,0.0,3.2,91,-1545.8800000000003,0.9
2023-12-20,2,-3.8,0.0,2.7,84,-1473.9860000000003,0.9
2023-12-20,3,-4.5,0.8,3.2,81,-1476.5,0.9
2023-12-20,4,-5.4,0.0,2.2,78,-1490.462,0.9
2023-12-20,5,-6.0,0.0,2.1,77,-1517.04,0.9
2023-12-20,6,-6.5,0.0,4.5,71,-1431.15,0.9
2023-12-20,7,-6.9,0.0,3.5,69,-1417.3280000000004,0.9
